rank,country,gdp,social-support,healthy-life-expectancy,choices,generosity,corruption,hdi,lifeexpectancy,gni,expected-schooling,mean-schooling,population,unemployment,happiness
1,Finland,1.34,1.587,0.986,0.596,0.153,0.393,0.938,81.9,48511,19.4,12.8,18.1679586733351,6.69,7.769
2,Denmark,1.383,1.573,0.996,0.592,0.252,0.41,0.94,80.9,58662,18.9,12.6,145.36055,5.02,7.6
3,Norway,1.488,1.582,1.028,0.603,0.271,0.341,0.957,82.4,66494,18.1,12.9,14.6474418449234,3.69,7.554
4,Iceland,1.38,1.624,1.026,0.591,0.354,0.118,0.949,83,54682,19.1,12.8,3.5759496181692,3.51,7.494
5,Netherlands,1.396,1.522,0.999,0.557,0.322,0.298,0.944,82.3,57707,18.5,12.4,515.143272943273,3.38,7.488
6,Switzerland,1.452,1.526,1.052,0.572,0.263,0.343,0.955,83.8,69394,16.3,13.4,217.007629561978,4.39,7.48
7,Sweden,1.387,1.487,1.009,0.574,0.267,0.373,0.945,82.8,54508,19.5,12.5,25.2360290687683,6.83,7.343
10,Austria,1.376,1.475,1.016,0.532,0.244,0.226,0.922,81.5,56197,16.1,12.5,107.609306834707,4.49,7.246
14,Luxembourg,1.609,1.479,1.012,0.526,0.194,0.316,0.916,82.3,72712,14.3,12.3,255.144444444444,5.59,7.09
15,United Kingdom,1.333,1.538,0.996,0.45,0.348,0.278,0.932,81.3,46071,17.5,13.2,276.263080229819,3.74,7.054
16,Ireland,1.499,1.553,0.999,0.516,0.298,0.31,0.955,82.3,68371,18.7,12.7,71.6263608651473,4.95,7.021
17,Germany,1.373,1.454,0.987,0.495,0.261,0.265,0.947,81.3,55314,17,14.2,237.829761291431,3.14,6.985
18,Belgium,1.356,1.504,0.986,0.473,0.16,0.21,0.931,81.6,52085,19.8,12.1,379.424702774108,5.36,6.923
20,Czech Republic,1.269,1.487,0.92,0.457,0.046,0.036,0.538,79.4,38109,16.8,12.7,138.236658031088,2.01,6.852
22,Malta,1.3,1.52,0.999,0.564,0.375,0.151,0.895,82.5,39555,16.1,11.3,1575.19375,3.62,6.726
24,France,1.324,1.472,1.045,0.436,0.111,0.183,0.901,82.7,47173,15.6,11.5,122.816302229722,8.41,6.592
30,Spain,1.286,1.484,1.062,0.362,0.153,0.079,0.904,83.6,40975,17.6,10.3,94.34185905659,14.1,6.354
36,Italy,1.294,1.488,1.039,0.231,0.158,0.03,0.892,83.5,42776,16.1,10.4,200.614922916737,9.95,6.223
38,Slovakia,1.246,1.504,0.881,0.334,0.121,0.014,0.86,77.5,32113,14.5,12.7,113.43899750416,5.75,6.198
40,Poland,1.206,1.438,0.884,0.483,0.117,0.05,0.88,78.7,31623,16.3,12.5,124.001290132933,3.28,6.182
42,Lithuania,1.238,1.515,0.818,0.291,0.043,0.042,0.882,75.9,35799,16.6,13.1,44.613396136037,6.26,6.149
44,Slovenia,1.258,1.523,0.953,0.564,0.144,0.057,0.917,81.3,38080,17.6,12.7,103.711934605987,4.45,6.118
48,Romania,1.162,1.232,0.825,0.462,0.083,0.005,0.828,76,29497,14.3,11.1,84.1952712100139,3.91,6.07
49,Cyprus,1.263,1.223,1.042,0.406,0.19,0.041,0.887,81,38207,15.2,12.2,129.715800865801,7.07,6.046
53,Latvia,1.187,1.465,0.812,0.264,0.075,0.064,0.866,75.3,30282,16.2,13,30.8233531969721,6.31,5.94
55,Estonia,1.237,1.528,0.874,0.495,0.103,0.161,0.892,78.8,36019,16,13.1,30.5244536461928,4.45,5.893
62,Hungary,1.201,1.41,0.828,0.199,0.081,0.02,0.854,76.9,31329,15.2,12,107.069263642341,3.42,5.758
66,Portugal,1.221,1.431,0.999,0.508,0.047,0.025,0.864,82,33967,16.5,9.3,112.288582794065,6.46,5.693
68,Russia,1.183,1.452,0.726,0.334,0.082,0.031,0.824,72.6,26157,15,12.2,8.81769599441163,4.5,5.648
70,Serbia,1.004,1.383,0.854,0.282,0.137,0.039,0.806,76,17192,14.7,11.2,79.4104161902584,10.39,5.603
71,Moldova,0.685,1.328,0.739,0.245,0.181,0.0,0.75,71.9,13664,11.5,11.7,92.7241550989997,5.1,5.529
73,Montenegro,1.051,1.361,0.871,0.197,0.142,0.08,0.829,76.9,21399,15,11.6,46.2474349442379,15.1300001144409,5.523
75,Croatia,1.155,1.266,0.914,0.296,0.119,0.022,0.851,78.5,28070,15.2,11.4,71.8369499911645,6.62,5.432
78,Bosnia and Herzegovina,0.945,1.212,0.845,0.212,0.263,0.006,0.78,77.4,14872,13.8,9.8,64.4726171875,15.69,5.386
79,Turkey,1.183,1.36,0.808,0.195,0.083,0.106,0.82,77.7,27701,16.6,8.1,108.40222834349,13.67,5.373
81,Belarus,1.067,1.465,0.789,0.235,0.094,0.142,0.823,74.8,18546,15.4,12.3,46.3979160508424,4.16,5.323
82,Greece,1.181,1.156,0.999,0.067,0.0,0.034,0.888,82.2,30155,17.9,10.6,83.1775174553918,17.31,5.287
84,North Macedonia,0.983,1.294,0.838,0.345,0.185,0.034,0.774,75.8,15865,13.6,9.8,82.6113402061856,17.26,5.274
97,Bulgaria,1.092,1.513,0.815,0.311,0.081,0.004,0.816,75,23325,14.4,11.4,64.2571941783346,4.23,5.011
107,Albania,0.947,0.848,0.874,0.383,0.178,0.027,0.795,78.6,13998,14.7,10.1,104.167554744526,11.47,4.719
133,Ukraine,0.82,1.39,0.739,0.178,0.187,0.01,0.779,72.1,13216,15.1,11.4,76.6071850189852,8.19,4.332
